reference_id,school,division,conference,city,state,coaching_staff_url,camp_url,recruiting_questionnaire_url,program_x_url,source_url,snapshot_date,logo_url,distance_miles
the-college-of-new-jersey-new-jersey-d3,The College of New Jersey,D3,NJAC,Ewing,New Jersey,https://tcnjathletics.com/sports/football/coaches,http://www.tcnjsportscamps.com/,https://tcnjathletics.com/sb_output.aspx?frform=17&path=fball,https://x.com/tcnjfootball,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2442.png,1272
the-college-of-st-scholastica-minnesota-d3,The College of St. Scholastica,D3,MIAC,Duluth,Minnesota,https://csssaints.com/sports/football/coaches,https://csssaints.com/sports/2017/11/1/camps-clinics.aspx,https://csssaints.com/sb_output.aspx?frform=5&path=football,https://x.com/CSSSaintsFB,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/375.png,818
the-university-of-virginia-s-college-at-wise-virginia-d2,The University of Virginia's College at Wise,D2,SAC,Wise,Virginia,https://uvawisecavs.com/sports/football/coaches,https://uvawisefootball.totalcamps.com/About%20Us,https://questionnaires.armssoftware.com/eec45aac8ae5,https://x.com/UVAWiseCavsFB,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,,834
thiel-college-pennsylvania-d3,Thiel College,D3,PAC,Greenville,Pennsylvania,https://thielathletics.com/sports/football/coaches,https://thielathletics.com/sports/football,https://www.thielathletics.com/sb_output.aspx?frform=2&path=football,https://x.com/thiel_football,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2644.png,1003
thomas-more-university-kentucky-naia,Thomas More University,NAIA,GMAC,Crestview Hills,Kentucky,https://thomasmoresaints.com/sports/football/coaches,https://thomasmorefootball.totalcamps.com/About%20Us,https://questionnaires.armssoftware.com/eeff89b47200,https://x.com/TMU_Football,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,,745
thomas-university-georgia-naia,Thomas University,NAIA,Sun,Thomasville,Georgia,https://tunighthawks.com/sports/football/coaches,https://tunighthawks.com/sports/2022/4/13/tu-football-camps,https://tunighthawks.com/sports/football,https://x.com/NightHawksMFB,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,,847
tiffin-university-ohio-d2,Tiffin University,D2,GMAC,Tiffin,Ohio,https://gotiffindragons.com/sports/football/coaches,https://gotiffindragons.com/sports/2023/9/21/information-camps-clinics-index.aspx,https://questionnaires.armssoftware.com/4850cce650f7,https://x.com/TUDragonFB,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2838.png,860
toledo-ohio-d1-fbs,Toledo,D1-FBS,MAC,Toledo,Ohio,https://utrockets.com/sports/football/coaches,https://football.toledocamps.com/camps.cfm,https://questionnaires.armssoftware.com/97ef9cb72419,https://x.com/ToledoFB,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,857
towson-maryland-d1-fcs,Towson,D1-FCS,CAA,Towson,Maryland,https://towsontigers.com/sports/football/coaches,https://shinnickfootballcamps.totalcamps.com/About%20Us,https://questionnaires.armssoftware.com/bcaa9def7793,https://x.com/Towson_FB,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/119.png,1170
trine-university-indiana-d3,Trine University,D3,MIAA,Angola,Indiana,https://trinethunder.com/sports/football/coaches,https://trinethunder.com/sports/2024/5/30/information-camps-index.aspx,https://www.fieldlevel.com/trine/football/recruiting,https://x.com/TrineThunderFB,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2651.png,789
trinity-college-connecticut-connecticut-d3,Trinity College - Connecticut,D3,NESCAC,Hartford,Connecticut,https://bantamsports.com/sports/football/coaches,https://trinityfootballcamps.totalcamps.com/About%20Us,https://questionnaires.armssoftware.com/018957175dc6,https://x.com/trincollfb,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,,1396
trinity-university-texas-texas-d3,Trinity University - Texas,D3,SCAC,San Antonio,Texas,https://trinitytigers.com/sports/football/coaches,https://trinityuniversityfootballcamps.totalcamps.com/About%20Us,https://www.fieldlevel.com/trinity/football/recruiting,https://x.com/TUFootballTX,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,,434
trinity-valley-community-college-texas-juco,Trinity Valley Community College,JUCO,SWJCFC,Athens,Texas,https://www.tvccsports.com/sports/fball/coaches/index,https://www.tvccsports.com/sports/fball,https://www.fieldlevel.com/n9mgpmfk/football/recruiting,https://x.com/TVCCFOOTBALL,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,,256
troy-alabama-d1-fbs,Troy,D1-FBS,Sun Belt,Troy,Alabama,https://troytrojans.com/sports/football/coaches,https://geradparkerfootballcamps.totalcamps.com/About%20Us,https://www.fieldlevel.com/troy/football/recruiting,https://x.com/TroyTrojansFB,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,,712
truman-state-university-missouri-d2,Truman State University,D2,GLVC,Kirksville,Missouri,https://trumanbulldogs.com/sports/football/coaches,https://trumanbulldogs.com/sports/football,https://www.fieldlevel.com/truman/football/recruiting,https://x.com/truman_fb,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2654.png,412
tufts-university-massachusetts-d3,Tufts University,D3,NESCAC,Medford,Massachusetts,https://gotuftsjumbos.com/sports/football/coaches,https://gotuftsjumbos.com/sports/football,https://www.fieldlevel.com/tufts/football/recruiting,https://x.com/footballtufts,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/112.png,1483
tulane-louisiana-d1-fbs,Tulane,D1-FBS,American,New Orleans,Louisiana,https://tulanegreenwave.com/sports/football/coaches,https://tulanegreenwave.com/sports/football,https://questionnaires.armssoftware.com/1c01a8dbf7a3,https://x.com/GreenWaveFB,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,583
tulsa-oklahoma-d1-fbs,Tulsa,D1-FBS,American,Tulsa,Oklahoma,https://tulsahurricane.com/sports/football/coaches,https://tulsahurricane.com/sports/football,https://tulsahurricane.com/sports/football,https://x.com/TulsaFootball,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png,90
tusculum-university-tennessee-d2,Tusculum University,D2,SAC,Tusculum,Tennessee,https://www.tusculumpioneers.com/sports/fball/coaches/index,https://www.tusculumpioneers.com/sports/fball,https://questionnaires.armssoftware.com/4b789221b442,https://x.com/tusculumfb,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2839.png,824
tuskegee-university-alabama-d2,Tuskegee University,D2,SIAC,Tuskegee,Alabama,https://goldentigersports.com/sports/football/roster#sidearm-roster-coaches,https://www.aaronjamesfootballcamps.com/,https://www.fieldlevel.com/7j6whwjq/football/recruiting,https://x.com/MyTUAthletics,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2657.png,710
tyler-junior-college-texas-juco,Tyler Junior College,JUCO,SWJCFC,Tyler,Texas,https://www.apacheathletics.com/sports/fball/coaches/index,https://www.apacheathletics.com/sports/fball,https://www.fieldlevel.com/tjc/football/recruiting,https://x.com/tjcfootball,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,,260
uab-alabama-d1-fbs,UAB,D1-FBS,American,Birmingham,Alabama,https://uabsports.com/sports/football/coaches,https://uabsports.com/sports/2023/4/20/2023-uab-summer-camps,https://www.fieldlevel.com/uab/football/recruiting,https://x.com/UAB_FB,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png,625
uc-davis-california-d1-fcs,UC Davis,D1-FCS,Big Sky,Davis,California,https://ucdavisaggies.com/sports/football/coaches,https://ucdavisfootballcamps.totalcamps.com/About%20Us,https://questionnaires.armssoftware.com/54fb93553a2c,https://x.com/UCDfootball,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,1348
ucf-florida-d1-fbs,UCF,D1-FBS,Big 12,Orlando,Florida,https://ucfknights.com/sports/football/roster#coaches,https://ucfknights.com/sports/football,https://ucfknights.com/sports/football,https://x.com/UCF_Football,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,1061
ucla-california-d1-fbs,UCLA,D1-FBS,Big Ten,Los Angeles,California,https://uclabruins.com/sports/football,https://uclabruins.com/camps,https://uclabruins.com/sports/football,https://x.com/UCLAFootball,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,1180
uconn-connecticut-d1-fbs,UConn,D1-FBS,Independent,Storrs,Connecticut,https://uconnhuskies.com/sports/football/coaches,https://jimmorafootball.totalcamps.com/About%20Us,https://questionnaires.armssoftware.com/a34f74e9b093,https://x.com/UConnFootball,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,1419
